#x,y,z - 18.25% strain
-31.85,-31.08,14.38
-32.29,-30.62,7.05
-32.62,-30.62,-0.6
-32.84,-30.62,-8.72
-32.89,-30.16,-16.55
-32.47,-29.83,-24.68
-31.7,-29.37,-32.44
-32.56,-19.94,14.04
-32.8,-19.37,6.71
-33.15,-19.83,-0.96
-33.4,-19.37,-8.91
-33.4,-19.37,-16.52
-32.53,-18.61,-24.6
-31.73,-18.12,-32.47
-33.35,-8.75,13.79
-33.17,-7.68,6.53
-33.58,-8.13,-1.3
-34.48,-8.13,-9.05
-33.22,-7.5,-16.7
-32.69,-6.88,-24.72
-31.73,-6.88,-32.47
-32.61,1.31,13.73
-33.39,3.13,6.4
-33.97,3.55,-1.3
-33.54,4.38,-9.24
-33.21,4.38,-16.88
-32.84,4.38,-25.05
-31.73,4.38,-32.84
-32.83,13.44,13.69
-33.58,14.37,6.49
-33.91,15.05,-1.46
-35.18,15.62,-9.28
-33.58,15.62,-16.88
-32.84,15.62,-25.05
-31.58,15.62,-32.88
-33.14,25.44,13.74
-33.96,25.63,6.49
-34.51,25.63,-1.18
-34.74,26.88,-9.24
-33.36,26.88,-16.93
-32.84,26.88,-25.05
-31.73,26.88,-33.21
-33.1,36.51,14.11
-33.56,37.45,7.15
-34.05,37.56,-0.73
-33.92,38.12,-8.75
-33.24,38.12,-16.85
-33.17,38.12,-25.2
-32.47,38.12,-33.21
-20.28,-32.11,14.23
-21.34,-30.62,6.87
-20.22,-30.62,-0.93
-21.71,-30.62,-8.72
-20.99,-30.62,-16.48
-20.97,-29.37,-24.31
-20.22,-28.12,-32.1
-21.4,-20.63,13.67
-21.37,-19.37,6.16
-21.34,-19.37,-1.3
-21.62,-19.88,-9
-21.52,-19.37,-16.52
-21.15,-18.12,-24.31
-20.6,-18.12,-32.1
-21.48,-10.63,13.58
-21.67,-7.51,6.14
-21.89,-8.13,-1.55
-22.26,-7.57,-9.16
-21.67,-7.33,-16.55
-21.34,-6.88,-24.49
-20.41,-6.88,-32.29
-22.27,0.99,13.54
-22.02,3.75,6.05
-21.68,3.57,-1.71
-22.11,4.38,-9.43
-21.71,4.38,-16.88
-21.52,4.93,-24.75
-20.6,5.63,-32.47
-21.77,12.65,13.56
-22.27,15,5.94
-22.08,15.62,-1.67
-22.8,15.62,-9.43
-21.89,15.62,-16.89
-21.45,15.62,-24.87
-20.48,15.62,-32.66
-22.75,24.84,13.52
-22.05,25.63,6.09
-22.27,26.88,-1.68
-21.31,26.88,-9.43
-21.7,27.66,-16.92
-21.34,26.88,-25.05
